DATE,LAUST010000000000006A
1976-01-01,1499637
1977-01-01,1564045
1978-01-01,1621598
1979-01-01,1661114
1980-01-01,1679723
1981-01-01,1686584
1982-01-01,1720073
1983-01-01,1756534
1984-01-01,1785713
1985-01-01,1804882
1986-01-01,1852269
1987-01-01,1867330
1988-01-01,1874512
1989-01-01,1899124
1990-01-01,1910481
1991-01-01,1924056
1992-01-01,1962311
1993-01-01,1996532
1994-01-01,2033548
1995-01-01,2065988
1996-01-01,2091357
1997-01-01,2132295
1998-01-01,2142084
1999-01-01,2149868
2000-01-01,2147173
2001-01-01,2128027
2002-01-01,2112621
2003-01-01,2128668
2004-01-01,2138306
2005-01-01,2140356
2006-01-01,2170007
2007-01-01,2180448
2008-01-01,2176854
2009-01-01,2156593
2010-01-01,2197028
2011-01-01,2202337
2012-01-01,2178508
2013-01-01,2172102
2014-01-01,2164715
2015-01-01,2152295
2016-01-01,2155729
2017-01-01,2172455
2018-01-01,2207019
2019-01-01,2237278
2020-01-01,2230118
